Model Type,Version,Version Description,Loss Type,Dataset Size,GraphVAE Dataset Size,Evaluation of metrics over generation run nMolecules Generated,Valid Molecules,Unique Molecules,Novel Molecules,Valid Fraction,Unique Fraction,Novel Fraction,Valid Over Total,Unique Over Total,Novel Over Total,Average QED (stdev),Average logP (stdev),Average Mol.Wt. (stdev),Average Ring C. (stdev),Frenchet Dist. QM9,Frenchet Dist. LogP,Frenchet Dist. molecular weights,Frenchet Dist. Ring
GraphVAE,20.0,Base Model,fingerprint_fs128,100000,,10000,8652,603,506,0.8652,0.06969486823855756,0.8391376451077943,0.8652,0.0603,0.0506,0.5421169369326815 (0.04385908035119287),2.7111434419787344 (0.7453051733476429),124.00631530282014 (9.902641943604172),0.8178455848358761 (0.600597314185942),0.06956883424336913,0.3317496618684489,0.7454923717059627,0.2992184937002017
GraphVAE,20.0,Base Model,fingerprint_fs128,50000,,10000,7852,1386,1120,0.7852,0.17651553744268977,0.8080808080808081,0.7852,0.1386,0.112,0.4838627879260228 (0.04992802532184991),2.073273280692818 (1.1253112271642693),106.28496039225674 (15.19866317818135),0.8208099847172695 (0.6826277148700161),0.05185594144587998,0.3235930214087251,0.19084835942009848,0.13355401287144397
GraphVAE,20.1,NO Fingerprint Loss,fingerprint_fs128,100000,,10000,8650,672,536,0.865,0.0776878612716763,0.7976190476190477,0.865,0.0672,0.0536,0.5165239643255195 (0.0446036144272205),2.9776830416184996 (0.8533574226841782),121.59271294797685 (12.96963480081912),0.7730635838150289 (0.4907848868961364),0.07668764258819061,0.3375240173665661,0.6549351862416533,0.3019278007801244
GraphVAE,20.1,NO Fingerprint Loss,fingerprint_fs128,50000,,10000,8103,1524,1336,0.8103,0.18807848944835245,0.8766404199475065,0.8103,0.1524,0.1336,0.4761428764498621 (0.05468550369327986),2.0678376564235466 (1.0145490488062503),104.89461594471182 (16.065402103740922),0.8999136122423793 (0.7990669262032841),0.04925658757746276,0.34308117599026106,0.3238468237666212,0.09951939455324005
GraphVAE,20.2,Size Fingerprint 2048,fingerprint_fs2048,100000,,10000,8971,550,458,0.8971,0.06130866124177906,0.8327272727272728,0.8971,0.055,0.0458,0.5190080462122987 (0.03622799352782822),3.0664876836473103 (0.7316205971459488),122.8753665143239 (10.872027333558602),0.8147363727566603 (0.4780421944850923),0.07729336702528214,0.3431767565284631,0.8099431501504849,0.33767984187851285
GraphVAE,20.2,Size Fingerprint 2048,fingerprint_fs2048,50000,,10000,7540,714,557,0.754,0.0946949602122016,0.7801120448179272,0.754,0.0714,0.0557,0.4762590917399001 (0.044745079388581174),2.441988469496022 (0.6534512623882186),91.77753899204242 (18.783534973959924),0.4250663129973475 (0.818605146284221),0.06153918743834759,0.34359446034189906,0.2912679382315176,0.3062531670058118
GraphVAE,20.3,Fingerprint 128 RDkit,fingerprint_fs128,100000,,10000,8681,707,568,0.8681,0.08144223015781592,0.8033946251768034,0.8681,0.0707,0.0568,0.5466698123773377 (0.04921692250099649),2.5414711404216117 (0.7624149105859055),122.15327923050339 (12.013920633787633),0.7803248473678148 (0.5709715097230168),0.06868791567013316,0.3330242028242485,0.7279856613596318,0.2748186733454838
GraphVAE,20.3,Fingerprint 128 RDkit,fingerprint_fs128,50000,,10000,7177,1661,1509,0.7177,0.2314337466908179,0.9084888621312462,0.7177,0.1661,0.1509,0.4786472308796668 (0.04992593400760391),2.2083917639682324 (1.038155588266639),106.44081524313779 (14.855462333146452),0.9191862895360179 (0.7116859361149214),0.05674437700866931,0.38010105921410875,0.3855587621380573,0.19411689874157978
GraphVAE,20.4,Approx. Loss,approx_loss_fs128,100000,,10000,114,57,53,0.0114,0.5,0.9298245614035088,0.0114,0.0057,0.0053,0.35595805754795856 (0.041390730488576846),0.5118792105263158 (0.559067258170382),55.614280701754396 (21.796939370096496),0.14035087719298245 (0.4564776081143048),0.10455001672800276,0.1489056364564808,0.340080294412847,0.4710165343100139
GraphVAE,20.4,Approx. Loss,approx_loss_fs128,50000,,10000,632,421,400,0.0632,0.6661392405063291,0.9501187648456056,0.0632,0.0421,0.04,0.37882827223459214 (0.06081171253951863),0.254971835443038 (0.6706150541755092),70.19007120253164 (20.661104487851194),0.05379746835443038 (0.25211411821075336),0.08750025130608076,0.07930714306888972,0.33058662352677104,0.49197449043431185
GraphVAE,20.5,Latent Space = 20,fingerprint_fs128,100000,,10000,8236,460,371,0.8236,0.055852355512384655,0.8065217391304348,0.8236,0.046,0.0371,0.42361080421586245 (0.04217837773690008),1.8248174599320057 (0.6505015869371347),71.9767656629432 (19.47833940412824),0.07697911607576494 (0.353157415781562),0.06404130682923467,0.3375729091216795,0.6626653647151427,0.49197449043431185
GraphVAE,20.5,Latent Space = 20,fingerprint_fs128,50000,,10000,6642,1636,1509,0.6642,0.24631135200240892,0.9223716381418093,0.6642,0.1636,0.1509,0.44689499278285966 (0.10640016188136359),1.1555462390846134 (1.9160245764887418),109.49691162300512 (11.170375485581369),0.9628124059018368 (0.5456866896882163),0.08156404860580341,0.37965519259668273,0.32057275351386316,0.3232600132030836
GraphVAE,20.6,Latent Space = 120,fingerprint_fs128,100000,,10000,9009,414,343,0.9009,0.04595404595404595,0.8285024154589372,0.9009,0.0414,0.0343,0.49796790916345024 (0.041973407815318144),2.9698012398712423 (0.6395509476306988),112.42029870129869 (17.592355841446608),0.17071817071817072 (0.40221324829850197),0.07940616030169176,0.34328616448642835,0.22242823530879702,0.4145525304775891
